[2026-03-05T08:17:00.070Z] [play] command from guild=1407099712703692911 user=462755441760403456 query="https://music.youtube.com/watch?v=ETxmCCsMoD0&list=RDAMVMi5_asj1BGFs"
[2026-03-05T08:17:02.067Z] [play] resolveQuery type=single
[2026-03-05T08:17:02.067Z] [play] queue.join start
[2026-03-05T08:17:02.068Z] [Queue:1407099712703692911] join attempt 1/3
[2026-03-05T08:17:02.068Z] [Queue:1407099712703692911] join requested channel=1407099713206878314 name="WW"
[2026-03-05T08:17:03.550Z] [Queue:1407099712703692911] connection ready
[2026-03-05T08:17:03.550Z] [Queue:1407099712703692911] connection subscribed to player
[2026-03-05T08:17:03.551Z] [play] queue.join success
[2026-03-05T08:17:03.551Z] [play] addTrack single title="ABBA - Money, Money, Money (Official Music Video)" wasIdle=true
[2026-03-05T08:17:04.420Z] [Queue:1407099712703692911] player state -> buffering
[2026-03-05T08:17:03.551Z] [Queue:1407099712703692911] _playTrack start title="ABBA - Money, Money, Money (Official Music Video)" url="https://www.youtube.com/watch?v=ETxmCCsMoD0"
[2026-03-05T08:17:04.420Z] [Queue:1407099712703692911] player.play called
[2026-03-05T08:17:04.368Z] [Queue:1407099712703692911] stream created type=ogg/opus
[2026-03-05T08:17:07.667Z] [Queue:1407099712703692911] player state -> playing
[2026-03-05T16:44:34.445Z] stress-0
[2026-03-05T16:44:34.448Z] stress-1
[2026-03-05T16:44:34.448Z] stress-2
[2026-03-05T16:44:34.448Z] stress-3
[2026-03-05T16:44:34.448Z] stress-4
[2026-03-05T16:44:34.448Z] stress-5
[2026-03-05T16:44:34.448Z] stress-6
[2026-03-05T16:44:34.448Z] stress-7
[2026-03-05T16:44:34.448Z] stress-8
[2026-03-05T16:44:34.449Z] stress-9
[2026-03-05T16:44:34.449Z] stress-10
[2026-03-05T16:44:34.449Z] stress-11
[2026-03-05T16:44:34.449Z] stress-12
[2026-03-05T16:44:34.449Z] stress-13
[2026-03-05T16:44:34.449Z] stress-14
[2026-03-05T16:44:34.449Z] stress-15
[2026-03-05T16:44:34.449Z] stress-16
[2026-03-05T16:44:34.449Z] stress-17
[2026-03-05T16:44:34.449Z] stress-18
[2026-03-05T16:44:34.449Z] stress-19
[2026-03-05T16:44:34.449Z] stress-20
[2026-03-05T16:44:34.449Z] stress-21
[2026-03-05T16:44:34.449Z] stress-22
[2026-03-05T16:44:34.449Z] stress-23
[2026-03-05T16:44:34.449Z] stress-24
[2026-03-05T16:44:34.449Z] stress-25
[2026-03-05T16:44:34.449Z] stress-26
[2026-03-05T16:44:34.449Z] stress-27
[2026-03-05T16:44:34.449Z] stress-28
[2026-03-05T16:44:34.449Z] stress-29
[2026-03-05T16:44:34.449Z] stress-30
[2026-03-05T16:44:34.449Z] stress-31
[2026-03-05T16:44:34.449Z] stress-32
[2026-03-05T16:44:34.449Z] stress-33
[2026-03-05T16:44:34.449Z] stress-34
[2026-03-05T16:44:34.449Z] stress-35
[2026-03-05T16:44:34.449Z] stress-36
[2026-03-05T16:44:34.449Z] stress-37
[2026-03-05T16:44:34.449Z] stress-38
[2026-03-05T16:44:34.449Z] stress-39
[2026-03-05T16:44:34.449Z] stress-40
[2026-03-05T16:44:34.449Z] stress-41
[2026-03-05T16:44:34.449Z] stress-42
[2026-03-05T16:44:34.449Z] stress-43
[2026-03-05T16:44:34.449Z] stress-44
[2026-03-05T16:44:34.449Z] stress-45
[2026-03-05T16:44:34.449Z] stress-46
[2026-03-05T16:44:34.449Z] stress-47
[2026-03-05T16:44:34.449Z] stress-48
[2026-03-05T16:44:34.449Z] stress-49
[2026-03-05T16:44:34.449Z] stress-50
[2026-03-05T16:44:34.449Z] stress-51
[2026-03-05T16:44:34.449Z] stress-52
[2026-03-05T16:44:34.449Z] stress-53
[2026-03-05T16:44:34.449Z] stress-54
[2026-03-05T16:44:34.449Z] stress-55
[2026-03-05T16:44:34.449Z] stress-56
[2026-03-05T16:44:34.449Z] stress-57
[2026-03-05T16:44:34.449Z] stress-58
[2026-03-05T16:44:34.449Z] stress-59
[2026-03-05T16:44:34.449Z] stress-60
[2026-03-05T16:44:34.449Z] stress-61
[2026-03-05T16:44:34.449Z] stress-62
[2026-03-05T16:44:34.449Z] stress-63
[2026-03-05T16:44:34.449Z] stress-64
[2026-03-05T16:44:34.449Z] stress-65
[2026-03-05T16:44:34.449Z] stress-66
[2026-03-05T16:44:34.449Z] stress-67
[2026-03-05T16:44:34.449Z] stress-68
[2026-03-05T16:44:34.449Z] stress-69
[2026-03-05T16:44:34.449Z] stress-70
[2026-03-05T16:44:34.449Z] stress-71
[2026-03-05T16:44:34.449Z] stress-72
[2026-03-05T16:44:34.449Z] stress-73
[2026-03-05T16:44:34.449Z] stress-74
[2026-03-05T16:44:34.449Z] stress-75
[2026-03-05T16:44:34.449Z] stress-76
[2026-03-05T16:44:34.449Z] stress-77
[2026-03-05T16:44:34.449Z] stress-78
[2026-03-05T16:44:34.449Z] stress-79
[2026-03-05T16:44:34.449Z] stress-80
[2026-03-05T16:44:34.449Z] stress-81
[2026-03-05T16:44:34.449Z] stress-82
[2026-03-05T16:44:34.449Z] stress-83
[2026-03-05T16:44:34.449Z] stress-84
[2026-03-05T16:44:34.449Z] stress-85
[2026-03-05T16:44:34.449Z] stress-86
[2026-03-05T16:44:34.449Z] stress-87
[2026-03-05T16:44:34.449Z] stress-88
[2026-03-05T16:44:34.449Z] stress-89
[2026-03-05T16:44:34.449Z] stress-90
[2026-03-05T16:44:34.449Z] stress-91
[2026-03-05T16:44:34.449Z] stress-92
[2026-03-05T16:44:34.449Z] stress-93
[2026-03-05T16:44:34.449Z] stress-94
[2026-03-05T16:44:34.449Z] stress-95
[2026-03-05T16:44:34.449Z] stress-96
[2026-03-05T16:44:34.449Z] stress-97
[2026-03-05T16:44:34.449Z] stress-98
[2026-03-05T16:44:34.449Z] stress-99
[2026-03-05T16:44:34.449Z] stress-100
[2026-03-05T16:44:34.449Z] stress-101
[2026-03-05T16:44:34.449Z] stress-102
[2026-03-05T16:44:34.449Z] stress-103
[2026-03-05T16:44:34.449Z] stress-104
[2026-03-05T16:44:34.449Z] stress-105
[2026-03-05T16:44:34.449Z] stress-106
[2026-03-05T16:44:34.449Z] stress-107
[2026-03-05T16:44:34.449Z] stress-108
[2026-03-05T16:44:34.449Z] stress-109
[2026-03-05T16:44:34.449Z] stress-110
[2026-03-05T16:44:34.449Z] stress-111
[2026-03-05T16:44:34.449Z] stress-112
[2026-03-05T16:44:34.449Z] stress-113
[2026-03-05T16:44:34.449Z] stress-114
[2026-03-05T16:44:34.449Z] stress-115
[2026-03-05T16:44:34.449Z] stress-116
[2026-03-05T16:44:34.449Z] stress-117
[2026-03-05T16:44:34.449Z] stress-118
[2026-03-05T16:44:34.449Z] stress-119
[2026-03-05T16:44:34.449Z] stress-120
[2026-03-05T16:44:34.449Z] stress-121
[2026-03-05T16:44:34.449Z] stress-122
[2026-03-05T16:44:34.449Z] stress-123
[2026-03-05T16:44:34.449Z] stress-124
[2026-03-05T16:44:34.449Z] stress-125
[2026-03-05T16:44:34.449Z] stress-126
[2026-03-05T16:44:34.449Z] stress-127
[2026-03-05T16:44:34.449Z] stress-128
[2026-03-05T16:44:34.449Z] stress-129
[2026-03-05T16:44:34.449Z] stress-130
[2026-03-05T16:44:34.449Z] stress-131
[2026-03-05T16:44:34.449Z] stress-132
[2026-03-05T16:44:34.449Z] stress-133
[2026-03-05T16:44:34.449Z] stress-134
[2026-03-05T16:44:34.449Z] stress-135
[2026-03-05T16:44:34.449Z] stress-136
[2026-03-05T16:44:34.449Z] stress-137
[2026-03-05T16:44:34.449Z] stress-138
[2026-03-05T16:44:34.449Z] stress-139
[2026-03-05T16:44:34.449Z] stress-140
[2026-03-05T16:44:34.449Z] stress-141
[2026-03-05T16:44:34.449Z] stress-142
[2026-03-05T16:44:34.449Z] stress-143
[2026-03-05T16:44:34.449Z] stress-144
[2026-03-05T16:44:34.449Z] stress-145
[2026-03-05T16:44:34.449Z] stress-146
[2026-03-05T16:44:34.449Z] stress-147
